parcel,min_x,max_x,min_y,max_y,created_by,created
AA19,2683067,2683096,1247028,1247060,PVAA2,1994-01-01
AA20,2683056,2683081,1247044,1247070,PVAA2,1994-01-01
AA21,2683085,2683089,1247021,1247026,PVAA2,1994-01-01
AA22,2683075,2683098,1247058,1247082,PVAA2,1994-01-01
AA23,2683083,2683105,1247064,1247089,PVAA2,1994-01-01
AA24,2683092,2683112,1247067,1247095,PVAA2,1994-01-01
AA25,2683101,2683120,1247068,1247100,PVAA2,1994-01-01
AA123,2682493,2682524,1247020,1247051,PVAA2,1994-01-01
AA125,2682520,2682551,1247041,1247073,PVAA2,1994-01-01
AA144,2682508,2682561,1247090,1247143,PVAA2,1994-01-01
AA148,2682567,2682594,1247134,1247161,PVAA2,1994-01-01
AA149,2682578,2682606,1247148,1247175,PVAA2,1994-01-01
AA155,2682576,2682636,1247087,1247154,PVAA2,1994-01-01
AA158,2682632,2682660,1247103,1247128,PVAA2,1994-01-01
AA159,2682644,2682665,1247118,1247143,PVAA2,1994-01-01
AA160,2682656,2682675,1247115,1247136,PVAA2,1994-01-01
AA187,2682666,2682683,1247443,1247462,PVAA2,1994-01-01
AA189,2682660,2682716,1247485,1247595,PVAA2,1994-01-01
AA191,2682699,2682859,1247584,1247815,PVAA2,1994-01-01
AA209,2682948,2682979,1247712,1247736,PVAA2,1994-01-01
AA214,2682938,2682964,1247744,1247766,PVAA2,1994-01-01
AA240,2682992,2683010,1247746,1247768,PVAA2,1994-01-01
AA258,2683081,2683104,1247827,1247848,PVAA2,1994-01-01
AA265,2683098,2683117,1247681,1247697,PVAA2,1994-01-01
AA266,2683102,2683120,1247692,1247708,PVAA2,1994-01-01
AA271,2683112,2683124,1247679,1247703,PVAA2,1994-01-01
AA308,2682655,2682664,1247430,1247448,PVAA2,1994-01-01
AA319,2683017,2683038,1247539,1247558,PVAA2,1994-01-01
AA344,2683099,2683123,1247821,1247842,PVAA2,1994-01-01
AA360,2682978,2683002,1247737,1247757,PVAA2,1994-01-01
AA370,2682513,2682531,1247042,1247062,PVAA2,1994-01-01
AA371,2682506,2682525,1247037,1247056,PVAA2,1994-01-01
AA372,2682518,2682538,1247031,1247050,PVAA2,1994-01-01
AA382,2683105,2683128,1247701,1247719,PVAA2,1994-01-01
AA395,2683091,2683113,1247004,1247050,PVAA2,1994-01-01
AA398,2682645,2682674,1247083,1247111,PVAA2,1994-01-01
AA451,2683118,2683141,1247878,1247896,PVAA2,1994-01-01
AA475,2683052,2683069,1247820,1247839,PVAA2,1994-01-01
AA476,2683055,2683073,1247834,1247850,PVAA2,1994-01-01
AA487,2683059,2683077,1247845,1247862,PVAA2,1994-01-01
AA488,2683063,2683080,1247858,1247873,PVAA2,1994-01-01
AA489,2683066,2683085,1247868,1247887,PVAA2,1994-01-01
AA493,2682947,2682982,1247888,1247919,PVAA2,1994-01-01
AA495,2683087,2683103,1247013,1247034,PVAA2,1994-01-01
AA496,2683091,2683116,1246992,1247019,PVAA2,1994-01-01
AA497,2683083,2683094,1247016,1247030,PVAA2,1994-01-01
AA503,2682940,2682972,1247880,1247908,PVAA2,1994-01-01
AA531,2683058,2683073,1247874,1247891,PVAA2,1994-01-01
AA532,2683047,2683063,1247877,1247894,PVAA2,1994-01-01
AA558,2682675,2682694,1247398,1247422,PVAA2,1994-01-01
AA559,2682680,2682695,1247417,1247448,PVAA2,1994-01-01
AA563,2683075,2683096,1247814,1247834,PVAA2,1994-01-01
AA565,2682519,2682538,1247082,1247101,PVAA2,1994-01-01
AA566,2682508,2682529,1247073,1247093,PVAA2,1994-01-01
AA567,2682497,2682518,1247083,1247105,PVAA2,1994-01-01
AA576,2682934,2682950,1247807,1247831,PVAA2,1994-01-01
AA577,2682925,2682939,1247805,1247828,PVAA2,1994-01-01
AA599,2683024,2683067,1247838,1247881,PVAA2,1994-01-01
AA604,2683182,2683196,1247830,1247849,PVAA2,1994-01-01
AA616,2683069,2683081,1247898,1247913,PVAA2,1994-01-01
AA617,2683078,2683093,1247894,1247912,PVAA2,1994-01-01
AA618,2683080,2683096,1247907,1247921,PVAA2,1994-01-01
AA622,2683004,2683033,1247967,1247992,PVAA2,1994-01-01
AA623,2682999,2683028,1247961,1247985,PVAA2,1994-01-01
AA633,2682621,2682626,1247479,1247483,PVAA2,1994-01-01
AA635,2682967,2682987,1247758,1247774,PVAA2,1994-01-01
AA636,2682983,2682996,1247758,1247772,PVAA2,1994-01-01
AA637,2682974,2682988,1247749,1247763,PVAA2,1994-01-01
AA638,2682984,2682993,1247754,1247762,PVAA2,1994-01-01
AA645,2683153,2683173,1247839,1247860,PVAA2,1994-01-01
AA652,2682914,2682930,1247807,1247827,PVAA2,1994-01-01
AA655,2682843,2682862,1247107,1247126,PVAA2,1994-01-01
AA679,2682994,2683024,1247953,1247979,PVAA2,1994-01-01
AA680,2682989,2683019,1247946,1247971,PVAA2,1994-01-01
AA688,2683060,2683074,1247901,1247914,PVAA2,1994-01-01
AA689,2683061,2683075,1247910,1247917,PVAA2,1994-01-01
AA690,2682487,2682507,1247097,1247118,PVAA2,1994-01-01
AA695,2682983,2683006,1247945,1247964,PVAA2,1994-01-01
AA696,2682979,2683001,1247937,1247957,PVAA2,1994-01-01
AA702,2682626,2682645,1247423,1247440,PVAA2,1994-01-01
AA703,2682621,2682640,1247414,1247432,PVAA2,1994-01-01
AA732,2683194,2683216,1247882,1247903,PVAA2,1994-01-01
AA734,2683171,2683195,1247893,1247915,PVAA2,1994-01-01
AA735,2683187,2683208,1247884,1247908,PVAA2,1994-01-01
AA746,2682928,2682945,1247830,1247844,PVAA2,1994-01-01
AA747,2682919,2682953,1247826,1247841,PVAA2,1994-01-01
AA752,2683023,2683034,1247974,1247984,PVAA2,1994-01-01
AA756,2682852,2682872,1247117,1247137,PVAA2,1994-01-01
AA761,2682995,2683022,1247926,1247952,PVAA2,1994-01-01
AA774,2682813,2682832,1247551,1247570,PVAA2,1994-01-01
AA775,2682821,2682842,1247563,1247582,PVAA2,1994-01-01
AA783,2682539,2682564,1247133,1247158,PVAA2,1994-01-01
AA784,2682549,2682574,1247143,1247169,PVAA2,1994-01-01
AA788,2682834,2682850,1247533,1247548,PVAA2,1994-01-01
AA789,2682829,2682845,1247525,1247540,PVAA2,1994-01-01
AA796,2682871,2682891,1247101,1247121,PVAA2,1994-01-01
AA797,2682881,2682900,1247095,1247112,PVAA2,1994-01-01
AA819,2682798,2682840,1247513,1247547,PVAA2,1994-01-01
AA822,2682856,2682874,1247616,1247634,PVAA2,1994-01-01
AA845,2682603,2682627,1247470,1247493,PVAA2,1994-01-01
AA851,2683083,2683216,1246721,1246897,PVAA2,1994-01-01
AA872,2682932,2682960,1247836,1247863,PVAA2,1994-01-01
AA873,2682915,2682941,1247848,1247872,PVAA2,1994-01-01
AA876,2682931,2682935,1247842,1247850,PVAA2,1994-01-01
AA887,2682861,2682876,1247602,1247616,PVAA2,1994-01-01
AA901,2682883,2682897,1247787,1247805,PVAA2,1994-01-01
AA902,2682870,2682887,1247782,1247808,PVAA2,1994-01-01
AA935,2682624,2682638,1247468,1247488,PVAA2,1994-01-01
AA936,2682611,2682634,1247461,1247483,PVAA2,1994-01-01
AA937,2682611,2682632,1247450,1247467,PVAA2,1994-01-01
AA938,2682599,2682619,1247459,1247475,PVAA2,1994-01-01
AA945,2682903,2682934,1247827,1247859,PVAA2,1994-01-01
AA947,2682906,2682924,1247778,1247797,PVAA2,1994-01-01
AA959,2682931,2682952,1247732,1247752,PVAA2,1994-01-01
AA979,2682655,2682684,1247105,1247128,PVAA2,1994-01-01
AA980,2682674,2682698,1247098,1247120,PVAA2,1994-01-01
AA981,2682660,2682684,1247091,1247111,PVAA2,1994-01-01
AA990,2682867,2682882,1247611,1247627,PVAA2,1994-01-01
AA994,2683006,2683029,1247691,1247720,PVAA2,1994-01-01
AA995,2682998,2683016,1247699,1247721,PVAA2,1994-01-01
AA1016,2682647,2682673,1247455,1247478,PVAA2,1994-01-01
AA1017,2682642,2682666,1247447,1247469,PVAA2,1994-01-01
AA1035,2683028,2683053,1247613,1247630,PVAA2,1994-01-01
AA1036,2683030,2683049,1247598,1247618,PVAA2,1994-01-01
AA1040,2682888,2682916,1247663,1247692,PVAA2,1994-01-01
AA1041,2682876,2682904,1247644,1247674,PVAA2,1994-01-01
AA1043,2682867,2682894,1247630,1247655,PVAA2,1994-01-01
AA1055,2683264,2683294,1247862,1247890,PVAA2,1994-01-01
AA1075,2682901,2682932,1247648,1247679,PVAA2,1994-01-01
AA1087,2682873,2682895,1247599,1247621,PVAA2,1994-01-01
AA1101,2682892,2682918,1247634,1247659,PVAA2,1994-01-01
AA1102,2682884,2682909,1247619,1247644,PVAA2,1994-01-01
AA1103,2682865,2682887,1247587,1247608,PVAA2,1994-01-01
AA1112,2682914,2682948,1247660,1247687,PVAA2,1994-01-01
AA1113,2682933,2682966,1247671,1247703,PVAA2,1994-01-01
AA1136,2683093,2683119,1247667,1247686,PVAA2,1994-01-01
AA1145,2682898,2682912,1247083,1247095,PVAA2,1994-01-01
AA1148,2682918,2682944,1247714,1247741,PVAA2,1994-01-01
AA1157,2683018,2683040,1247507,1247523,PVAA2,1994-01-01
AA1158,2683018,2683039,1247521,1247540,PVAA2,1994-01-01
AA1174,2683053,2683079,1247277,1247293,PVAA2,1994-01-01
AA1176,2682908,2682972,1247399,1247457,PVAA2,1994-01-01
AA1187,2682442,2682484,1247035,1247081,PVAA2,1994-01-01
AA1191,2682925,2682955,1247445,1247474,PVAA2,1994-01-01
AA1192,2682905,2682943,1247431,1247466,PVAA2,1994-01-01
AA1212,2683007,2683056,1247268,1247303,PVAA2,1994-01-01
AA1217,2682994,2683018,1247545,1247575,PVAA2,1994-01-01
AA1218,2683017,2683037,1247557,1247577,PVAA2,1994-01-01
AA1220,2683026,2683070,1247300,1247344,AA3100,2000-05-08
AA1225,2683226,2683269,1247860,1247905,PVAA2,1994-01-01
AA1227,2682965,2683005,1247247,1247289,PVAA2,1994-01-01
AA1230,2682981,2683035,1247280,1247332,AA3100,2000-05-08
AA1232,2682995,2683019,1247506,1247547,PVAA2,1994-01-01
AA1240,2682939,2682950,1247713,1247731,PVAA2,1994-01-01
AA1241,2682943,2682973,1247724,1247751,PVAA2,1994-01-01
AA1242,2683236,2683299,1247837,1247880,PVAA2,1994-01-01
AA1247,2683021,2683114,1247129,1247226,PVAA2,1994-01-01
AA1263,2683047,2683076,1247284,1247303,PVAA2,1994-01-01
AA1264,2683040,2683074,1247297,1247318,PVAA2,1994-01-01
AA1265,2683044,2683054,1247292,1247301,PVAA2,1994-01-01
AA1281,2682788,2682837,1247777,1247829,PVAA2,1994-01-01
AA1282,2682735,2682802,1247704,1247786,PVAA2,1994-01-01
AA1283,2682728,2682752,1247692,1247715,PVAA2,1994-01-01
AA1284,2682650,2682745,1247572,1247703,PVAA2,1994-01-01
AA1288,2682888,2682901,1247074,1247086,PVAA2,1994-01-01
AA1289,2682862,2682881,1247109,1247128,PVAA2,1994-01-01
AA1293,2682974,2683011,1247874,1247910,PVAA2,1994-01-01
AA1305,2682965,2682996,1247528,1247572,PVAA2,1994-01-01
AA1313,2682964,2682979,1247532,1247551,PVAA2,1994-01-01
AA1314,2682958,2682997,1247505,1247533,PVAA2,1994-01-01
AA1328,2683020,2683056,1247241,1247261,PVAA2,1994-01-01
AA1329,2683029,2683088,1247215,1247269,PVAA2,1994-01-01
AA1338,2683229,2683259,1247894,1247922,PVAA2,1994-01-01
AA1344,2682875,2682910,1247489,1247535,PVAA2,1994-01-01
AA1347,2682709,2682750,1247403,1247450,PVAA2,1994-01-01
AA1359,2682433,2682482,1246959,1247008,PVAA2,1994-01-01
AA1363,2683257,2683286,1247900,1247920,PVAA2,1994-01-01
AA1364,2683257,2683289,1247884,1247905,PVAA2,1994-01-01
AA1367,2683033,2683080,1247675,1247733,PVAA2,1994-01-01
AA1368,2683056,2683085,1247707,1247729,PVAA2,1994-01-01
AA1373,2682706,2682766,1247466,1247554,PVAA2,1994-01-01
AA1387,2682833,2682863,1247577,1247606,PVAA2,1994-01-01
AA1392,2683056,2683078,1247915,1247931,PVAA2,1994-01-01
AA1393,2682427,2682461,1247039,1247072,PVAA2,1994-01-01
AA1396,2683157,2683164,1247833,1247837,PVAA2,1994-01-01
AA1397,2683149,2683167,1247835,1247850,PVAA2,1994-01-01
AA1412,2682899,2682935,1247681,1247705,PVAA2,1994-01-01
AA1417,2682965,2682997,1247864,1247890,PVAA2,1994-01-01
AA1420,2683013,2683034,1247918,1247940,PVAA2,1994-01-01
AA1423,2683026,2683053,1247952,1247972,PVAA2,1994-01-01
AA1424,2683031,2683058,1247962,1247984,PVAA2,1994-01-01
AA1428,2683052,2683068,1247912,1247924,PVAA2,1994-01-01
AA1429,2683047,2683064,1247904,1247918,PVAA2,1994-01-01
AA1435,2683108,2683152,1247889,1247938,PVAA2,1994-01-01
AA1436,2683100,2683127,1247884,1247915,PVAA2,1994-01-01
AA1440,2682985,2683010,1247727,1247747,PVAA2,1994-01-01
AA1441,2682991,2683012,1247713,1247738,PVAA2,1994-01-01
AA1442,2683086,2683134,1247835,1247880,PVAA2,1994-01-01
AA1446,2683111,2683133,1247070,1247104,PVAA2,1994-01-01
AA1449,2683047,2683090,1247721,1247749,PVAA2,1994-01-01
AA1450,2682694,2682740,1247354,1247409,PVAA2,1994-01-01
AA1452,2682853,2682890,1247424,1247464,PVAA2,1994-01-01
AA1454,2682774,2682821,1247461,1247518,PVAA2,1994-01-01
AA1460,2683076,2683083,1247911,1247920,PVAA2,1994-01-01
AA1461,2682988,2683018,1247896,1247923,PVAA2,1994-01-01
AA1469,2682630,2682663,1247430,1247460,PVAA2,1994-01-01
AA1471,2683009,2683065,1247976,1248009,PVAA2,1994-01-01
AA1481,2683061,2683105,1247912,1247954,PVAA2,1994-01-01
AA1486,2682965,2682997,1247684,1247717,PVAA2,1994-01-01
AA1487,2682549,2682627,1247346,1247466,PVAA2,1994-01-01
AA1488,2682617,2682670,1247501,1247587,PVAA2,1994-01-01
AA1489,2682790,2682840,1247591,1247636,PVAA2,1994-01-01
AA1511,2682964,2682993,1247031,1247055,PVAA2,1994-01-01
AA1513,2682783,2682884,1247052,1247194,PVAA2,1994-01-01
AA1514,2682706,2682739,1247540,1247569,PVAA2,1994-01-01
AA1523,2682587,2682625,1247199,1247223,PVAA2,1994-01-01
AA1528,2683146,2683164,1247824,1247839,PVAA2,1994-01-01
AA1529,2683160,2683188,1247823,1247854,PVAA2,1994-01-01
AA1533,2682636,2682694,1247389,1247458,PVAA2,1994-01-01
AA1534,2682578,2682654,1247211,1247332,PVAA2,1994-01-01
AA1539,2682882,2682936,1247213,1247266,PVAA2,1994-01-01
AA1540,2682909,2682967,1247180,1247240,PVAA2,1994-01-01
AA1549,2682560,2682586,1247154,1247182,PVAA2,1994-01-01
AA1574,2682750,2682775,1247333,1247380,PVAA2,1994-01-01
AA1577,2682587,2682601,1247169,1247182,PVAA2,1994-01-01
AA1578,2682845,2682874,1247835,1247872,PVAA2,1994-01-01
AA1581,2682607,2682636,1247068,1247096,PVAA2,1994-01-01
AA1584,2682838,2682883,1247221,1247265,PVAA2,1994-01-01
AA1589,2682935,2683020,1247265,1247349,PVAA2,1994-01-01
AA1590,2682975,2683052,1247182,1247253,PVAA2,1994-01-01
AA1591,2683136,2683243,1247729,1247816,PVAA2,1994-01-01
AA1592,2682574,2682599,1247170,1247198,PVAA2,1994-01-01
AA1593,2682844,2682924,1247328,1247387,PVAA2,1994-01-01
AA1594,2682753,2682786,1247375,1247403,PVAA2,1994-01-01
AA1595,2682735,2682816,1247544,1247612,PVAA2,1994-01-01
AA1596,2682727,2682773,1247515,1247555,PVAA2,1994-01-01
AA1603,2682695,2682715,1247145,1247162,PVAA2,1994-01-01
AA1607,2682813,2682856,1247268,1247328,PVAA2,1994-01-01
AA1609,2682799,2682844,1247252,1247300,PVAA2,1994-01-01
AA1616,2682872,2682914,1247398,1247443,PVAA2,1994-01-01
AA1617,2682897,2682935,1247372,1247415,PVAA2,1994-01-01
AA1618,2682922,2682959,1247358,1247407,PVAA2,1994-01-01
AA1619,2682445,2682473,1247023,1247049,PVAA2,1994-01-01
AA1620,2682677,2682724,1247153,1247183,PVAA2,1994-01-01
AA1621,2682714,2682740,1247148,1247170,PVAA2,1994-01-01
AA1622,2682706,2682732,1247133,1247158,PVAA2,1994-01-01
AA1623,2682690,2682717,1247125,1247150,PVAA2,1994-01-01
AA1624,2682856,2682925,1247179,1247251,PVAA2,1994-01-01
AA1629,2682959,2682995,1247061,1247090,PVAA2,1994-01-01
AA1630,2682944,2682984,1247042,1247068,PVAA2,1994-01-01
AA1634,2682806,2682825,1247539,1247559,PVAA2,1994-01-01
AA1637,2683046,2683095,1246929,1246986,PVAA2,1994-01-01
AA1639,2683047,2683085,1247015,1247055,PVAA2,1994-01-01
AA1643,2683287,2683298,1248130,1248153,PVAA2,1994-01-01
AA1649,2682869,2682940,1247100,1247167,PVAA2,1994-01-01
AA1651,2682881,2682968,1247039,1247083,PVAA2,1994-01-01
AA1652,2682912,2682950,1247052,1247091,PVAA2,1994-01-01
AA1653,2682928,2682974,1247065,1247111,PVAA2,1994-01-01
AA1662,2682499,2682530,1247091,1247120,PVAA2,1994-01-01
AA1663,2682812,2682847,1247421,1247450,PVAA2,1994-01-01
AA1667,2682836,2682881,1247660,1247717,PVAA2,1994-01-01
AA1668,2682849,2682898,1247696,1247747,PVAA2,1994-01-01
AA1671,2683163,2683187,1247877,1247893,PVAA2,1994-01-01
AA1672,2683167,2683190,1247886,1247905,PVAA2,1994-01-01
AA1673,2683172,2683182,1247886,1247894,PVAA2,1994-01-01
AA1674,2682899,2682922,1247523,1247563,PVAA2,1994-01-01
AA1675,2682916,2682952,1247536,1247567,PVAA2,1994-01-01
AA1677,2682787,2682828,1247395,1247441,PVAA2,1994-01-01
AA1678,2682806,2682888,1247352,1247431,PVAA2,1994-01-01
AA1680,2682990,2683060,1247772,1247824,PVAA2,1994-01-01
AA1681,2682671,2682701,1247135,1247162,PVAA2,1994-01-01
AA1683,2682931,2682963,1247868,1247899,PVAA2,1994-01-01
AA1684,2682953,2682972,1247862,1247882,PVAA2,1994-01-01
AA1685,2682963,2682990,1247850,1247875,PVAA2,1994-01-01
AA1686,2682760,2682811,1247320,1247387,PVAA2,1994-01-01
AA1687,2682769,2682831,1247295,1247362,PVAA2,1994-01-01
AA1688,2682807,2682843,1247305,1247340,PVAA2,1994-01-01
AA1689,2682786,2682819,1247276,1247316,PVAA2,1994-01-01
AA1690,2682816,2682859,1247621,1247674,PVAA2,1994-01-01
AA1691,2683004,2683026,1247834,1247857,PVAA2,1994-01-01
AA1693,2682804,2682869,1247162,1247224,PVAA2,1994-01-01
AA1694,2682849,2682880,1247153,1247185,PVAA2,1994-01-01
AA1699,2683013,2683032,1247849,1247867,PVAA2,1994-01-01
AA1700,2683019,2683044,1247859,1247886,PVAA2,1994-01-01
AA1701,2683032,2683052,1247878,1247898,PVAA2,1994-01-01
AA1702,2683325,2683357,1247815,1247912,PVAA2,1994-01-01
AA1703,2683330,2683354,1247757,1247818,PVAA2,1994-01-01
AA1704,2682914,2683024,1247581,1247667,PVAA2,1994-01-01
AA1705,2682948,2683063,1247309,1247402,PVAA2,1994-01-01
AA1706,2682844,2682869,1247593,1247615,PVAA2,1994-01-01
AA1707,2682849,2682867,1247607,1247624,PVAA2,1994-01-01
AA1709,2683062,2683113,1246899,1246942,PVAA2,1994-01-01
AA1711,2683171,2683193,1247773,1247800,PVAA2,1994-01-01
AA1714,2683190,2683207,1247830,1247846,PVAA2,1994-01-01
AA1715,2683190,2683228,1247816,1247843,PVAA2,1994-01-01
AA1719,2683042,2683056,1247824,1247841,PVAA2,1994-01-01
AA1720,2683031,2683046,1247827,1247845,PVAA2,1994-01-01
AA1721,2683020,2683036,1247831,1247848,PVAA2,1994-01-01
AA1722,2683187,2683207,1247780,1247801,PVAA2,1994-01-01
AA1727,2682548,2682570,1247083,1247103,PVAA2,1994-01-01
AA1728,2682549,2682607,1247042,1247101,PVAA2,1994-01-01
AA1730,2682535,2682559,1247062,1247086,PVAA2,1994-01-01
AA1731,2682611,2682659,1247174,1247216,PVAA2,1994-01-01
AA1736,2682692,2682752,1247156,1247192,PVAA2,1994-01-01
AA1742,2683058,2683292,1248132,1248548,PVAA2,1994-01-01
AA1743,2682852,2682879,1247568,1247597,PVAA2,1994-01-01
AA1744,2683001,2683042,1247729,1247764,PVAA2,1994-01-01
AA1745,2683011,2683034,1247715,1247737,PVAA2,1994-01-01
AA1746,2682900,2682920,1247811,1247833,PVAA2,1994-01-01
AA1748,2683124,2683180,1247758,1247794,PVAA2,1994-01-01
AA1749,2682934,2682994,1247382,1247440,PVAA2,1994-01-01
AA1750,2683118,2683148,1247666,1247713,PVAA2,1994-01-01
AA1752,2683118,2683139,1247743,1247764,PVAA2,1994-01-01
AA1753,2683113,2683146,1247721,1247753,PVAA2,1994-01-01
AA1754,2682619,2682816,1247190,1247356,PVAA2,1994-01-01
AA1756,2682965,2683067,1247059,1247158,PVAA2,1994-01-01
AA1759,2683010,2683067,1246965,1247030,PVAA2,1994-01-01
AA1760,2683035,2683074,1246922,1246973,PVAA2,1994-01-01
AA1761,2682523,2682582,1247012,1247075,PVAA2,1994-01-01
AA1763,2683013,2683047,1247932,1247966,PVAA2,1994-01-01
AA1766,2682818,2682845,1247532,1247566,PVAA2,1994-01-01
AA1769,2682942,2682975,1247811,1247850,PVAA2,1994-01-01
AA1770,2682955,2682997,1247899,1247938,PVAA2,1994-01-01
AA1771,2682865,2682925,1247821,1247931,PVAA2,1994-01-01
AA1772,2683141,2683163,1247810,1247829,PVAA2,1994-01-01
AA1773,2683135,2683197,1247793,1247832,PVAA2,1994-01-01
AA1774,2682852,2682910,1247076,1247118,PVAA2,1994-01-01
AA1775,2682919,2682986,1247232,1247337,PVAA2,1994-01-01
AA1778,2682858,2682925,1247718,1247788,PVAA2,1994-01-01
AA1780,2682901,2683003,1247130,1247208,PVAA2,1994-01-01
AA1781,2683160,2683194,1247861,1247887,PVAA2,1994-01-01
AA1782,2683187,2683233,1247847,1247890,PVAA2,1994-01-01
AA1784,2682880,2682911,1247770,1247802,PVAA2,1994-01-01
AA1785,2682899,2682939,1247753,1247793,PVAA2,1994-01-01
AA1787,2683065,2683109,1246982,1247027,PVAA2,1994-01-01
AA1788,2683088,2683173,1246915,1247062,PVAA2,1994-01-01
AA1789,2682977,2683009,1247043,1247074,PVAA2,1994-01-01
AA1790,2682982,2683028,1247016,1247062,PVAA2,1994-01-01
AA1791,2683020,2683058,1247624,1247665,PVAA2,1994-01-01
AA1792,2683041,2683064,1247642,1247663,PVAA2,1994-01-01
AA1793,2682465,2682489,1247004,1247028,PVAA2,1994-01-01
AA1796,2682603,2682686,1247330,1247420,PVAA2,1994-01-01
AA1797,2682951,2683041,1247443,1247494,PVAA2,1994-01-01
AA1798,2682985,2683043,1247415,1247466,PVAA2,1994-01-01
AA1799,2682502,2682521,1247105,1247126,PVAA2,1994-01-01
AA1800,2682843,2682895,1247474,1247553,PVAA2,1994-01-01
AA1801,2682720,2682788,1247083,1247154,PVAA2,1994-01-01
AA1802,2682392,2682417,1247028,1247055,PVAA2,1994-01-01
AA1821,2682808,2682881,1247641,1247835,PVAA2,1994-01-01
AA1822,2682690,2682821,1247479,1247650,PVAA2,1994-01-01
AA1823,2682667,2682712,1247346,1247486,PVAA2,1994-01-01
AA1824,2682601,2682679,1247216,1247351,PVAA2,1994-01-01
AA1825,2682645,2682821,1247098,1247234,PVAA2,1994-01-01
AA1826,2682793,2683008,1246989,1247111,PVAA2,1994-01-01
AA1827,2682990,2683074,1246892,1247002,PVAA2,1994-01-01
AA1828,2683050,2683188,1246706,1246898,PVAA2,1994-01-01
AA1829,2683168,2683202,1246683,1246721,PVAA2,1994-01-01
AA1830,2683051,2683206,1248399,1248597,PVAA2,1994-01-01
AA1831,2683183,2683298,1248207,1248411,PVAA2,1994-01-01
AA1832,2682618,2682659,1247071,1247114,PVAA2,1994-01-01
AA1836,2682535,2682647,1247237,1247386,PVAA2,1994-01-01
AA2040,2683679,2683703,1247315,1247334,PVAA3,1999-01-01
AA2044,2683668,2683711,1247284,1247328,PVAA3,1999-01-01
AA2048,2683659,2683672,1247462,1247479,PVAA3,1999-01-01
AA2050,2683648,2683681,1247429,1247473,PVAA3,1999-01-01
AA2051,2683643,2683665,1247444,1247469,PVAA3,1999-01-01
AA2055,2683620,2683664,1247400,1247448,PVAA3,1999-01-01
AA2058,2683594,2683633,1247372,1247420,PVAA3,1999-01-01
AA2062,2683589,2683611,1247421,1247437,PVAA3,1999-01-01
AA2063,2683590,2683606,1247412,1247427,PVAA3,1999-01-01
AA2064,2683584,2683597,1247407,1247420,PVAA3,1999-01-01
AA2065,2683577,2683598,1247417,1247437,PVAA3,1999-01-01
AA2066,2683565,2683581,1247424,1247436,PVAA3,1999-01-01
AA2067,2683569,2683590,1247400,1247426,PVAA3,1999-01-01
AA2071,2683545,2683555,1247418,1247429,PVAA3,1999-01-01
AA2072,2683539,2683557,1247408,1247428,PVAA3,1999-01-01
AA2073,2683532,2683544,1247407,1247427,PVAA3,1999-01-01
AA2074,2683525,2683538,1247406,1247426,PVAA3,1999-01-01
AA2080,2683473,2683497,1247399,1247417,PVAA3,1999-01-01
AA2081,2683473,2683496,1247390,1247400,PVAA3,1999-01-01
AA2096,2683507,2683521,1247353,1247377,PVAA3,1999-01-01
AA2097,2683503,2683515,1247350,1247367,PVAA3,1999-01-01
AA2098,2683494,2683510,1247347,1247374,PVAA3,1999-01-01
AA2099,2683501,2683509,1247365,1247375,PVAA3,1999-01-01
AA2103,2683473,2683491,1247344,1247359,PVAA3,1999-01-01
AA2104,2683476,2683492,1247343,1247352,PVAA3,1999-01-01
AA2105,2683477,2683504,1247334,1247355,PVAA3,1999-01-01
AA2109,2683491,2683507,1247315,1247327,PVAA3,1999-01-01
AA2110,2683495,2683504,1247320,1247327,PVAA3,1999-01-01
AA2122,2683511,2683523,1247278,1247289,PVAA3,1999-01-01
AA2123,2683513,2683524,1247271,1247281,PVAA3,1999-01-01
AA2132,2683625,2683652,1247229,1247264,PVAA3,1999-01-01
AA2137,2683666,2683686,1247270,1247295,PVAA3,1999-01-01
AA2138,2683660,2683675,1247285,1247301,PVAA3,1999-01-01
AA2139,2683659,2683666,1247292,1247302,PVAA3,1999-01-01
AA2140,2683647,2683665,1247285,1247305,PVAA3,1999-01-01
AA2141,2683647,2683656,1247272,1247285,PVAA3,1999-01-01
AA2142,2683643,2683656,1247272,1247289,PVAA3,1999-01-01
AA2143,2683635,2683650,1247275,1247295,PVAA3,1999-01-01
AA2144,2683639,2683660,1247292,1247314,PVAA3,1999-01-01
AA2152,2683570,2683595,1247354,1247379,PVAA3,1999-01-01
AA2153,2683548,2683580,1247334,1247365,PVAA3,1999-01-01
AA2154,2683534,2683566,1247345,1247371,PVAA3,1999-01-01
AA2157,2683551,2683573,1247361,1247384,PVAA3,1999-01-01
AA2158,2683559,2683578,1247369,1247391,PVAA3,1999-01-01
AA2159,2683569,2683590,1247366,1247395,PVAA3,1999-01-01
AA2165,2683618,2683654,1247165,1247214,PVAA3,1999-01-01
AA2166,2683609,2683639,1247172,1247208,PVAA3,1999-01-01
AA2167,2683630,2683647,1247160,1247178,PVAA3,1999-01-01
AA2168,2683626,2683640,1247157,1247173,PVAA3,1999-01-01
AA2169,2683621,2683635,1247154,1247170,PVAA3,1999-01-01
AA2170,2683601,2683630,1247167,1247203,PVAA3,1999-01-01
AA2171,2683588,2683621,1247161,1247200,PVAA3,1999-01-01
AA2172,2683582,2683598,1247170,1247193,PVAA3,1999-01-01
