mutation,date,min_x,max_x,min_y,max_y
HO1038,1935-01-30,2684151.361,2684187.368,1246807.652,1246838.556
HO1040,1935-05-31,2685010.891,2685098.649,1247484.260,1247569.183
HO1043,1935-08-26,2685008.921,2685042.267,1246760.481,1246790.404
HO1044,1935-09-12,2683892.116,2684123.314,1247058.013,1247141.266
HO1053,1936-01-29,2684474.090,2684517.631,1247296.114,1247339.371
HO1061,1936-07-01,2684904.218,2684938.919,1247689.522,1247727.841
HO1062,1936-07-20,2685626.809,2685671.368,1247975.867,1248015.144
HO1069,1936-11-06,2685573.204,2685591.043,1247988.397,1248021.914
HO1070,1936-12-18,2685162.865,2685195.984,1247216.665,1247272.351
HO1073,1937-02-10,2684700.808,2684709.919,1246830.353,1246858.908
HO1074,1937-03-16,2684670.226,2684696.604,1246812.903,1246838.090
HO1081,1937-07-07,2684900.289,2684938.686,1247006.991,1247056.522
HO1083,1937-11-02,2684691.232,2684716.267,1246856.406,1246898.494
HO1084,1937-12-15,2684152.102,2684194.332,1246861.744,1246901.381
HO1085,1937-12-20,2685828.980,2686079.171,1247175.459,1247435.156
HO1086,1938-01-11,2685573.809,2685588.716,1247968.609,1247989.436
HO1092,1938-03-24,2684293.309,2684336.146,1247166.690,1247197.198
HO1094,1938-07-15,2685355.972,2685395.884,1247300.092,1247340.975
HO1095,1938-08-02,2684643.374,2684684.664,1246843.574,1246880.272
HO1100,1939-06-28,2684065.025,2684140.786,1246912.960,1246975.488
HO1101,1938-12-12,2684189.444,2684232.707,1246865.500,1246923.990
HO1102,1938-12-21,2684242.641,2684279.992,1246675.165,1246705.220
HO1103,1938-12-09,2684530.735,2684585.159,1246878.789,1246929.377
HO1107,1939-01-05,2684836.931,2684881.453,1247088.830,1247136.532
HO1110,1939-03-28,2684579.633,2684611.320,1246843.944,1246882.242
HO1112,1939-05-20,,,,
HO1113,1939-06-12,2685579.389,2685758.887,1247104.091,1247181.033
HO1115,1939-06-29,2684601.739,2684625.783,1246852.932,1246884.574
HO1117,1939-07-03,2684017.586,2684092.216,1247026.466,1247118.228
HO1118,1939-07-18,2684734.901,2684777.822,1246618.508,1246657.285
HO1119,1939-08-27,2684835.610,2684865.817,1247571.603,1247629.010
