point,type,protection,x,y,created_by,created
AA3380,Bolzen,,2683442.336,1247189.806,EN503,1949-09-05
AA3384,Bolzen,,2683467.608,1247224.624,EN503,1949-09-05
AA3385,Bolzen,,2683454.210,1247237.123,EN503,1949-09-05
AA3386,Bolzen,,2683433.736,1247238.011,EN503,1949-09-05
AA3387,Bolzen,,2683434.107,1247247.347,EN503,1949-09-05
AA3388,Bolzen,,2683441.549,1247289.370,EN503,1949-09-05
AA3389,Bolzen,,2683487.094,1247241.586,EN503,1949-09-05
AA3390,Bolzen,,2683482.010,1247241.886,EN503,1949-09-05
AA3391,Bolzen,,2683481.339,1247252.501,EN503,1949-09-05
AA3392,Bolzen,,2683483.479,1247260.146,EN503,1949-09-05
AA3394,Bolzen,,2683496.244,1247278.735,EN503,1949-09-05
AA3395,Bolzen,,2683497.876,1247286.304,EN503,1949-09-05
AA3396,Bolzen,,2683505.855,1247290.006,EN503,1949-09-05
AA3397,Bolzen,,2683557.415,1247284.422,EN503,1949-09-05
AA3398,Bolzen,,2683536.815,1247150.132,EN503,1949-09-05
AA3399,Bolzen,,2683543.170,1247052.790,EN503,1949-09-05
AA3400,Bolzen,,2683565.044,1247009.177,EN503,1949-09-05
AA3401,Bolzen,,2683576.003,1247014.929,EN503,1949-09-05
AA3402,Bolzen,,2683579.399,1247015.871,EN503,1949-09-05
AA3403,Bolzen,,2683610.018,1246967.069,EN503,1949-09-05
AA3404,Bolzen,,2683612.413,1246946.436,EN503,1949-09-05
AA3405,Bolzen,,2683469.745,1247271.442,EN503,1949-09-05
AA3406,Bolzen,,2683473.551,1247276.342,EN503,1949-09-05
AA3407,Bolzen,,2683489.435,1247286.283,EN503,1949-09-05
AA3408,Bolzen,,2683499.702,1247290.902,EN503,1949-09-05
AA3409,Bolzen,,2683503.454,1247295.611,EN503,1949-09-05
AA3410,Bolzen,,2683557.989,1247162.064,EN503,1949-09-05
AA3411,Bolzen,,2683561.374,1247141.444,EN503,1949-09-05
AA3412,Bolzen,,2683614.023,1247143.024,EN503,1949-09-05
AA3413,Bolzen,,2683550.849,1247137.755,EN503,1949-09-05
AA3414,Bolzen,,2683560.141,1247129.777,EN503,1949-09-05
AA3415,Bolzen,,2683553.911,1247118.006,EN503,1949-09-05
AA3416,Bolzen,,2683552.728,1247113.703,EN503,1949-09-05
AA3417,Bolzen,,2683557.541,1247103.807,EN503,1949-09-05
AA3418,Bolzen,,2683549.082,1247098.705,EN503,1949-09-05
AA3419,Bolzen,,2683561.535,1247106.439,EN503,1949-09-05
